utc_time,utc_time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,20,1046908555.496591,53866532.7597977,2506247649.5181103,140195930.2523384,10221172.764114749,137516709.49930027,414430.0520163645,786562.3168507958,21670141.38193161,97239497.42022158,135404792.15067825,65484310.859952666,49465987.49260514,3015145.1468982496,26285669.825301714,10079847.6650028,5967632.333847084,34763203.73025499,17019100.967996616,1493453.9708058068,9736672.424998742,6133151.9798776535
6,21,1045950599.9673105,54456080.60320232,2512258203.190114,138947267.88170418,10084408.866091307,141437534.50348106,221497.58323337423,721923.6774475452,20678174.874322124,94010897.51604964,133780765.15555544,64650989.74755552,51075188.172575906,3115889.2355923085,25972403.887737904,10238883.332798533,5481950.855313695,35141811.16875872,16378397.40147116,1515827.314085935,9564647.17290539,5965282.382407378
6,22,1054895161.6460545,53791377.12048796,2506101065.6259046,137953589.0512947,10733000.703145374,138733190.09090018,141208.60348810456,727881.6391326864,20354000.06583387,97421205.78547066,128364645.91373888,65291365.25069005,50704986.853437565,2953323.1984933955,27171777.896045487,11164716.133154271,5479676.238908605,34661048.15953122,16240340.583324365,1448182.8825369203,9442533.64469155,6230353.267360831
6,23,1061664839.0268592,53603493.02026065,2514914508.9672747,141981677.1959219,10544113.605066676,141898716.17584223,64266.046248022845,705453.5124527769,21966325.56410287,92114765.34493549,128724236.23358425,62516174.0456894,52527713.82926785,3057961.627372458,28247595.18201457,10488785.87670317,5599400.099753824,35274296.47969134,15808728.615836935,1507365.5551795405,9023542.622961279,5909291.535546874
6,24,1052199059.0122806,52833181.97127312,2510954167.1868277,140545561.28798395,10550167.751102915,137071768.317121,55504.11184587476,738115.4526169107,20149451.26602248,91708747.15250692,134163349.54882711,60549320.51387214,53519874.95746997,3272480.3578476002,28016334.12803979,10224192.081678983,5460583.75246657,35808045.51666974,15704957.099851916,1521464.6494182113,9784540.726077408,6279339.081495602
6,25,1067372575.5084177,51356205.22243849,2531041668.0075865,142197168.10745803,10216788.823151441,142182197.62476972,74955.8743172989,708097.3443450631,21475622.380860582,91085956.14062683,127507321.37281439,60979755.41332425,46689795.02210097,2752828.8357164706,26827441.183846477,10565826.512165407,5179986.926169057,34903031.57308404,15582811.34518268,1465614.286220903,9271321.12923608,6267435.476701403
6,26,1064622726.4181895,51545857.9181577,2508284374.5276036,141379722.9244009,10201039.15927345,144377724.25439173,130873.60569410963,691104.4566761175,20396014.13780919,98741441.06082638,126074557.53450055,59509212.11773761,48956030.501423165,2857722.6504928367,27498247.992385924,10532619.951727685,5341471.010139843,34971337.430427454,15365755.416419802,1426833.2396508227,10803276.734033506,6179069.028290352
6,27,1066741378.7751355,52374875.61275052,2524985285.312831,140888333.98506722,9913596.865813855,145206922.91830954,72650.09863139635,679828.2378760371,19416988.363297477,94217502.64769492,124585003.66593464,62293846.10979423,46765140.37253305,3284361.1178785316,27697466.921944246,10369463.221055357,5357739.618374128,35126977.55825683,14931416.205195358,1450219.9021275453,10434015.719081223,6081249.454449296
6,28,1075591838.4813483,50119229.75954609,2508772024.7478704,142315545.86605874,10566756.354868013,141820724.96989995,318576.89421345084,685664.4680709556,19730874.65894551,101426047.99570343,128198917.08582118,60533952.987884186,48846210.82060576,4164812.5604266287,25994683.033016603,11105339.488483092,5579664.305708196,35382247.39780474,15551832.070789112,1383185.1095094339,10639693.596571159,5899960.10996918
6,29,1063389196.2863108,51246906.174720116,2518842643.670538,139169582.4736757,10479412.417893533,144586476.10596406,213001.2973766245,684579.5194185212,20410942.143653918,96661002.0660294,126487019.45573436,58493097.827015385,48976552.92266612,2836102.485496521,32022357.512384128,10723607.965139586,6351950.9473924795,35644052.40072612,15343529.618019748,1387506.124121508,10756680.388224887,5598318.48086637
6,30,1077226857.3597968,51296443.32916563,2525527384.8995776,140594498.22262362,10247974.748127306,138932958.838951,66961.35574624364,668695.8102267287,20764844.543499272,98531995.13467556,123696756.92767957,58994496.69781741,45590446.49280476,2906598.926641892,28257898.691354826,10705600.886973735,5578515.027557301,34147944.71757256,14716162.77292337,1378327.0809312016,10279075.56252685,6069371.90308697
7,1,1072722325.8716449,49207512.1676226,2527062095.060483,142473997.13454187,10344525.762087485,144116248.34286308,149801.76245593754,688739.0287729017,20176638.60117989,93717756.47854234,121801402.2640052,59142865.005152196,47550856.30730369,3052122.0443344116,27199432.69695791,10905617.319371926,5569679.757223983,34389594.60285147,14985007.672259478,1387746.2096352421,10365034.625946673,5668336.779021889
7,2,1080968075.9649334,49245553.383715495,2527224460.169106,139511591.8950358,10469881.849213742,145134757.58617914,102681.1871248771,648247.8049710605,19802642.36028235,92791712.7798092,127406628.72292595,56147461.63796697,49683855.8147647,2874131.4431668743,26350749.200669814,10990070.53729237,5323667.92576769,35198790.747607715,14350237.663264453,1319811.6015196792,10168588.189682128,5572152.133591291
7,3,1059474037.9218062,48004515.12737879,2513314555.6064286,140692257.9643819,9611546.47081611,143160380.93537164,277050.0838012936,636697.63601974,19477719.430441916,95910684.4082701,118454209.32675351,55474966.385008655,46580340.51877366,2737583.1436156197,27634182.41677425,10920106.691790553,5469849.997936995,33703077.655281834,14217459.591269072,1277376.4323963814,10344413.346973952,5834576.283291648
